name,slug
adventure,adventure
ai,ai
archaeology,archaeology
art,art
audio,audio
beauty,beauty
board-games,board-games
books,books
camera,camera
canvas,canvas
cats,cats
challenge,challenge
clues,clues
coding,coding
collectible,collectible
color,color
cooking,cooking
cozy,cozy
creative,creative
creator,creator
deduction,deduction
design,design
desk-setup,desk-setup
detective,detective
discipline,discipline
exploration,exploration
family,family
fashion,fashion
fitness,fitness
football,football
fragrance,fragrance
fresh,fresh
friendship,friendship
fun,fun
gadgets,gadgets
gaming,gaming
glam,glam
gourmet,gourmet
guitar,guitar
handmade,handmade
history,history
hosting,hosting
hydration,hydration
jewelry,jewelry
journaling,journaling
kitchen,kitchen
lifestyle,lifestyle
logic,logic
luxury,luxury
lyrics,lyrics
maps,maps
mediterranean,mediterranean
minimalist,minimalist
music,music
mystery,mystery
neutral,neutral
nostalgia,nostalgia
notebook,notebook
nutrition,nutrition
olive-oil,olive-oil
outdoor,outdoor
painting,painting
peace,peace
performance,performance
practical,practical
productivity,productivity
puzzles,puzzles
recovery,recovery
retro,retro
rgb,rgb
romantic,romantic
rugged,rugged
running,running
sketching,sketching
skincare,skincare
smart-home,smart-home
songwriting,songwriting
spices,spices
stars,stars
startup,startup
storytelling,storytelling
strategy,strategy
streaming,streaming
tea,tea
tech,tech
tech-toys,tech-toys
tomato,tomato
training,training
travel,travel
vinyl,vinyl
visual-art,visual-art
wellness,wellness
youtube,youtube
