username,product_name,priority,privacy,note
mark_zuckerberg,Smart Desk Hub,5,public,Top wishlist item for this persona.
mark_zuckerberg,AI Notebook,4,public,Strong match with the persona interests.
mark_zuckerberg,Charging Dock,3,public,Useful secondary gift option.
mark_zuckerberg,Webcam Light,2,private,Private wishlist item for demo privacy.
cristiano_ronaldo,Hydration Bottle,5,public,Top wishlist item for this persona.
cristiano_ronaldo,Massage Gun,4,public,Strong match with the persona interests.
cristiano_ronaldo,Training Bands,3,public,Useful secondary gift option.
cristiano_ronaldo,Protein Shaker,2,private,Private wishlist item for demo privacy.
taylor_swift,Songwriting Journal,5,public,Top wishlist item for this persona.
taylor_swift,Cat Mug,4,public,Strong match with the persona interests.
taylor_swift,Bracelet Kit,3,public,Useful secondary gift option.
taylor_swift,Memory Box,2,private,Private wishlist item for demo privacy.
eyal_shani,Olive Oil,5,public,Top wishlist item for this persona.
eyal_shani,Tomato Bowl,4,public,Strong match with the persona interests.
eyal_shani,Chef Knife,3,public,Useful secondary gift option.
eyal_shani,Spice Drawer,2,private,Private wishlist item for demo privacy.
vincent_van_gogh,Paint Kit,5,public,Top wishlist item for this persona.
vincent_van_gogh,Star Lamp,4,public,Strong match with the persona interests.
vincent_van_gogh,Canvas Pack,3,public,Useful secondary gift option.
vincent_van_gogh,Artist Sketchbook,2,private,Private wishlist item for demo privacy.
mrbeast,Galaxy Projector,5,public,Top wishlist item for this persona.
mrbeast,Gaming Controller,4,public,Strong match with the persona interests.
mrbeast,Challenge Cards,3,public,Useful secondary gift option.
mrbeast,Lavalier Mic,2,private,Private wishlist item for demo privacy.
kim_kardashian,Fragrance Set,5,public,Top wishlist item for this persona.
kim_kardashian,Touch-Up Kit,4,public,Strong match with the persona interests.
kim_kardashian,Vanity Organizer,3,public,Useful secondary gift option.
kim_kardashian,Gold Hoops,2,private,Private wishlist item for demo privacy.
indiana_jones,Travel Journal,5,public,Top wishlist item for this persona.
indiana_jones,Luggage Tracker,4,public,Strong match with the persona interests.
indiana_jones,Field Compass,3,public,Useful secondary gift option.
indiana_jones,Camera Strap,2,private,Private wishlist item for demo privacy.
john_lennon,Vinyl Stand,5,public,Top wishlist item for this persona.
john_lennon,Cassette Player,4,public,Strong match with the persona interests.
john_lennon,Pick Case,3,public,Useful secondary gift option.
john_lennon,Lyric Cards,2,private,Private wishlist item for demo privacy.
sherlock_holmes,Puzzle Box,5,public,Top wishlist item for this persona.
sherlock_holmes,Case Game,4,public,Strong match with the persona interests.
sherlock_holmes,Clue Notebook,3,public,Useful secondary gift option.
sherlock_holmes,Glass Bookmark,2,private,Private wishlist item for demo privacy.
