demo_name,recipient_username,products,story
Mark demo,mark_zuckerberg,"Smart Desk Hub,AI Notebook,Charging Dock,Webcam Light",Tech / Gadgets / Productivity
Cristiano demo,cristiano_ronaldo,"Hydration Bottle,Massage Gun,Training Bands,Protein Shaker",Fitness / Wellness / Performance
Taylor demo,taylor_swift,"Songwriting Journal,Cat Mug,Bracelet Kit,Memory Box",Writing / Cozy / Storytelling
Eyal demo,eyal_shani,"Olive Oil,Tomato Bowl,Chef Knife,Spice Drawer",Food / Hosting / Kitchen
Vincent demo,vincent_van_gogh,"Paint Kit,Star Lamp,Canvas Pack,Artist Sketchbook",Art / Creativity / Painting
MrBeast demo,mrbeast,"Galaxy Projector,Gaming Controller,Challenge Cards,Lavalier Mic",Gaming / Tech Toys / Challenges
Kim demo,kim_kardashian,"Fragrance Set,Touch-Up Kit,Vanity Organizer,Gold Hoops",Fashion / Beauty / Lifestyle
Indiana demo,indiana_jones,"Travel Journal,Luggage Tracker,Field Compass,Camera Strap",Travel / Adventure / Exploration
John demo,john_lennon,"Vinyl Stand,Cassette Player,Pick Case,Lyric Cards",Music / Retro / Vinyl
Sherlock demo,sherlock_holmes,"Puzzle Box,Case Game,Clue Notebook,Glass Bookmark",Puzzles / Mystery / Strategy
